,Word,Count
0,equipo,49
1,tema,39
2,consulto,34
3,investigando,32
4,companeros,23
5,investigo,19
6,aplica,18
7,area,18
8,personas,18
9,apoyo,17
10,experto,17
11,buscando,17
12,conocimiento,17
13,experiencia,15
14,acercandome,15
15,tarificacion,15
16,informacion,13
17,bibliografia,13
18,busco,12
19,internet,12
20,actuaria,11
21,reservas,10
22,acerco,9
23,mayor,9
24,trabajo,9
25,dia,8
26,documentacion,8
27,recurro,8
28,acercamiento,8
29,ayuda,8
30,consultando,8
31,areas,8
32,compania,8
33,referencias,7
34,asesoria,7
35,dudas,6
36,algun,6
37,bibliograficas,6
38,necesario,6
39,solicito,6
40,consulta,6
41,manuales,6
42,pidiendo,6
43,lider,5
44,acudo,5
45,documentos,5
46,respecto,5
47,companero,5
48,responsables,5
49,buscar,5
50,riesgos,5
51,caso,4
52,duda,4
53,cuenta,4
54,suelo,4
55,archivos,4
56,cursos,4
57,requiero,4
58,responsable,4
59,solicitando,4
60,resolver,4
61,gerente,4
62,analisis,4
63,solucion,4
64,aplicarlo,4
65,pido,4
66,orientacion,4
67,tarifacion,4
68,vida,4
69,alguna,3
70,particular,3
71,realizar,3
72,regulacion,3
73,temas,3
74,normativa,3
75,base,3
76,interna,3
77,conocen,3
78,puedo,3
79,tomar,3
80,decisiones,3
81,construccion,3
82,actuarial,3
83,apoya,3
84,modelos,3
85,gratuitos,3
86,tomando,3
87,curso,3
88,verifico,3
89,parte,3
90,cnsf,3
91,manera,3
92,conjunto,3
93,disponible,3
94,tecnica,3
95,poder,3
96,funciones,3
97,expertos,3
98,conocimientos,3
99,ser,2
100,tener,2
101,conozco,2
102,metodologias,2
103,directamente,2
104,entiendo,2
105,reviso,2
106,metodologia,2
107,ello,2
108,ejecuto,2
109,papeles,2
110,siniestros,2
111,preguntando,2
112,solvencia,2
113,ibnr,2
114,mismos,2
115,realizo,2
116,cusf,2
117,pricing,2
118,expongo,2
119,formas,2
120,siniestralidad,2
121,textos,2
122,pedir,2
123,oriente,2
124,gente,2
125,tarifa,2
126,suscripcion,2
127,actuarios,2
128,genera,2
129,vez,2
130,desarrollar,2
131,etc,2
132,especialista,2
133,persona,2
134,asesore,2
135,calculo,2
136,teoria,2
137,aplicar,2
138,consultar,2
139,forma,2
140,investigacion,2
141,bases,2
142,red,2
143,jorge,2
144,garcia,2
145,fox,2
146,particulares,2
147,foros,2
148,pregunto,2
149,falta,2
150,software,2
151,sistemas,2
152,fuentes,2
153,tutoriales,2
154,programacion,2
155,correr,2
156,primera,1
157,instancia,1
158,expresar,1
159,ver,1
160,podemos,1
161,resolverlas,1
162,posible,1
163,joel,1
164,moreno,1
165,actividades,1
166,desarrollo,1
167,labores,1
168,material,1
169,bibliografico,1
170,especifica,1
171,propia,1
172,especializados,1
173,expertis,1
174,acudir,1
175,alguien,1
176,consultor,1
177,especializado,1
178,tomado,1
179,conceptos,1
180,profundizar,1
181,apartir,1
182,alguno,1
183,literatura,1
184,coordinador,1
185,duenas,1
186,requerir,1
187,finanzas,1
188,revisando,1
189,expertas,1
190,alrededor,1
191,triangulos,1
192,estimacion,1
193,ajuste,1
194,manueles,1
195,aclarar,1
196,problematica,1
197,reaseguradores,1
198,especilaista,1
199,mexico,1
200,tarifas,1
201,autorizadas,1
202,aplicarlas,1
203,web,1
204,ponencias,1
205,posteriormente,1
206,preguntar,1
207,miguel,1
208,reyes,1
209,medio,1
210,materiales,1
211,orienten,1
212,propio,1
213,asociados,1
214,entendido,1
215,llevo,1
216,practica,1
217,segun,1
218,requiera,1
219,actualmente,1
220,enfocado,1
221,embargo,1
222,actividad,1
223,apoyaria,1
224,apuntes,1
225,notas,1
226,actividaes,1
227,oportunidad,1
228,cias,1
229,externa,1
230,viendo,1
231,regulaciones,1
232,analizando,1
233,encaso,1
234,ramo,1
235,asoria,1
236,auditor,1
237,dominan,1
238,aopya,1
239,reaseguro,1
240,hacemos,1
241,requerido,1
242,par,1
243,partir,1
244,informaicon,1
245,comienzo,1
246,investigar,1
247,necesarios,1
248,comprender,1
249,maximo,1
250,asi,1
251,poderlo,1
252,eficiente,1
253,correcta,1
254,necesito,1
255,suscriptores,1
256,tablas,1
257,procedimientos,1
258,operacion,1
259,sandra,1
260,macotela,1
261,cargo,1
262,realizamos,1
263,interes,1
264,optima,1
265,recurriria,1
266,modelar,1
267,haber,1
268,estudiado,1
269,requerirlo,1
270,necesite,1
271,aconsultar,1
272,infromacion,1
273,academica,1
274,mercado,1
275,relacionada,1
276,papers,1
277,colsultando,1
278,dominio,1
279,tecnico,1
280,apoyan,1
281,modelacion,1
282,ejercicios,1
283,relacionados,1
284,necesidad,1
285,pruebas,1
286,verificar,1
287,salidas,1
288,correctas,1
289,valida,1
290,anterior,1
291,procedo,1
292,optimizarlo,1
293,considero,1
294,manejar,1
295,buena,1
296,diario,1
297,formacion,1
298,buen,1
299,manejo,1
300,datos,1
301,cierto,1
302,punto,1
303,adicional,1
304,sepa,1
305,momento,1
306,posibles,1
307,soluciones,1
308,adapto,1
309,trabajando,1
310,suficiente,1
311,analizo,1
312,libros,1
313,excel,1
314,solucionarlo,1
315,procesos,1
316,bien,1
317,equipos,1
318,leyendo,1
319,aun,1
320,aprender,1
321,asesoro,1
322,colaboradores,1
323,usando,1
324,herramientas,1
325,empresa,1
326,copaneros,1
327,externos,1
328,gestion,1
329,primero,1
330,despues,1
331,principalmente,1
332,programas,1
333,construido,1
334,mediante,1
335,busqueda,1
336,ejemplos,1
337,adaptarlos,1
338,problema,1
339,quiero,1
340,enfrentado,1
341,programar,1
342,uso,1
343,macros,1
344,online,1
345,hacen,1
346,trabajar,1
347,legislacion,1
348,emite,1
349,local,1
350,aplicable,1
351,ademas,1
352,diversos,1
353,encuentran,1
354,presentaciones,1
355,pdf,1
356,verificando,1
357,siempre,1
358,autenticidad,1
359,documento,1
360,adicionalmente,1
361,cuento,1
362,puede,1
363,aclararme,1
364,casi,1
365,cualquier,1
366,surja,1
367,inmediato,1
368,oficios,1
369,consultas,1
370,regulador,1
371,amis,1
372,lisf,1
373,leo,1
374,mexicana,1
375,filial,1
376,corporativo,1
377,externas,1
